OD590	CarbonSource	IndivID
0.052	D-Galactonic Acid y-Lactone	197
0.043	L-Arginine	197
0.046	Water	197
0.044	ß-Methyl-D-Glucoside	197
0.045	D-Galactonic Acid y-Lactone	197
0.057	L-Arginine	197
0.043	Water	197
0.041	ß-Methyl-D-Glucoside	197
0.049	D-Galactonic Acid y-Lactone	197
0.04	L-Arginine	197
0.041	Pyruvic Acid Methyl Ester	197
0.21	D-Xylose	197
1.043	D-Galacturonic Acid	197
0.596	L-Asparagine	197
1.932	Pyruvic Acid Methyl Ester	197
0.625	D-Xylose	197
1.699	D-Galacturonic Acid	197
1.135	L-Asparagine	197
1.232	Pyruvic Acid Methyl Ester	197
1.1	D-Xylose	197
0.364	D-Galacturonic Acid	197
0.153	L-Asparagine	197
0.121	Tween 40	197
0.035	i-Erythritol	197
0.325	2-Hydroxy Benzoid Acid	197
0.037	L-Phenylalanine	197
0.274	Tween 40	197
0.959	i-Erythritol	197
0.455	2-Hydroxy Benzoid Acid	197
0.164	L-Phenylalanine	197
0.051	Tween 40	197
0.3	i-Erythritol	197
0.281	2-Hydroxy Benzoid Acid	197
0.039	L-Phenylalanine	197
0.047	Tween 80	197
0.042	D-Mannitol	197
0.679	4-Hydroxy Benzoid Acid	197
0.219	L-Serine	197
0.049	Tween 80	197
0.039	D-Mannitol	197
0.449	4-Hydroxy Benzoid Acid	197
0.165	L-Serine	197
0.058	Tween 80	197
0.116	D-Mannitol	197
0.175	4-Hydroxy Benzoid Acid	197
0.059	L-Serine	197
0.079	a-Cyclodextrin	197
0.066	N-Accetyl-D-Glucosamine	197
0.216	y-Amino Butyric Acid	197
0.042	L-Threonine	197
0.442	a-Cyclodextrin	197
0.386	N-Accetyl-D-Glucosamine	197
0.845	y-Amino Butyric Acid	197
0.35	L-Threonine	197
0.71	a-Cyclodextrin	197
0.374	N-Accetyl-D-Glucosamine	197
0.324	y-Amino Butyric Acid	197
0.199	L-Threonine	197
0.044	Glycogen	197
0.038	D-Glucosaminic Acid	197
0.036	Itaconic Acid	197
0.037	Glycyl-L-Glutamic Acid	197
0.048	Glycogen	197
